country_code,admin_level,admin1,admin2,fips,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08
US,2,"Mississippi","Scott County","28123",12.426,16.649,18.023,13.416,16.231,23.05,19.404,14.66,16.872,17.028,17.164,22.452,21.216,17.748,10.209,16.55,15.559,14.689,15.494,14.923,9.864,5.725,12.04,10.625,9.714,10.882,14.635,8.474,5.717,11.84,8.901,11.29,11.29,10.016,3.396,2.046,9.296,9.078,11.092
US,2,"Mississippi","Simpson County","28127",11.874,17.768,16.87,14.066,18.791,25.548,16.433,11.251,17.16,15.384,19.896,22.873,16.989,13.566,10.544,13.86,12.618,13.173,12.397,13.467,8.988,3.104,9.994,10.759,9.2,9.682,11.674,8.588,6.396,9.619,9.839,9.609,10.325,11.352,4.739,4.327,7.269,8.971,9.161
US,2,"Mississippi","Smith County","28129",14.928,21.887,22.023,20.658,22.331,26.024,21.772,17.437,23.03,21.323,23.514,21.721,23.562,20.891,14.447,21.941,20.804,19.598,19.629,19.407,14.499,5.887,17.328,16.723,17.157,18.839,19.439,13.258,7.061,18.69,15.788,19.983,16.691,17.67,4.216,3.628,14.861,13.406,16.562
US,2,"Mississippi","Stone County","28131",11.578,14.207,15.264,11.348,14.536,25.287,16.43,8.487,12.089,9.834,13.987,12.169,28.64,13.279,7.037,11.225,10.644,6.029,7.948,9.761,5.238,3.526,6.162,7.094,5.658,5.618,9.592,6.916,4.914,6.507,8.053,8.24,8.951,6.398,3.182,1.31,4.089,6.354,7.284
US,2,"Mississippi","Sunflower County","28133",3.612,10.909,12.631,9.576,12.921,11.899,10.282,4.177,9.452,7.948,9.22,10.448,10.686,3.055,1.657,3.33,3.363,3.194,3.703,3.4,2.022,0.522,2.005,1.749,2.607,2.289,3.475,1.991,1.381,2.284,2.401,2.858,3.108,2.696,1.567,1.206,3.009,1.767,1.896
US,2,"Mississippi","Tallahatchie County","28135",15.444,23.892,21.162,21.172,24.395,26.687,18.928,15.494,19.066,16.176,21.785,23.448,21.334,16.453,7.819,18.034,16.675,13.596,18.164,16.017,10.552,1.298,15.988,6.357,15.617,13.874,16.195,9.65,5.303,13.711,8.29,12.724,11.154,12.949,6.98,1.219,5.704,9.672,7.088
US,2,"Mississippi","Tate County","28137",15.926,17.79,20.758,20.064,21.738,29.486,25.572,14.435,23.275,22.17,22.234,23.224,21.773,13.82,8.758,16.978,16.137,14.274,14.461,14.808,9.441,4.209,11.679,9.048,10.928,14.302,13.733,7.292,6.006,10.708,8.812,10.448,11.785,10.576,3.961,3.157,8.31,8.066,10.826
US,2,"Mississippi","Tippah County","28139",11.132,15.408,16.235,13.895,25.007,23.235,23.913,11.459,16.335,16.502,13.976,16.486,14.304,14.666,9.382,9.642,11.75,11.898,10.226,10.899,7.196,5.066,5.719,5.775,7.841,7.288,7.742,4.827,4.843,5.126,5.539,7.3,9.254,8.5,5.077,3.995,6.346,6.243,5.284
US,2,"Mississippi","Tishomingo County","28141",12.331,15.047,18.327,17.111,17.093,23.214,21.577,15.455,20.102,16.46,15.215,18.736,19.465,14.308,9.936,15.678,11.974,10.547,11.94,11.367,9.827,5.672,9.105,8.664,10.497,9.938,10.666,7.774,8.789,8.025,5.607,8.759,8.568,8.029,4.288,5.534,9.844,6.45,9.165
US,2,"Mississippi","Tunica County","28143",40.918,16.066,17.849,16.893,19.912,23.355,30.753,43.008,18.561,17.215,18.62,23.963,25.117,29.685,36.615,22.816,15.236,5.054,4.598,3.638,1.534,0.079,0.589,2.509,2.132,2.21,5.982,2.128,1.292,1.924,1.896,1.938,4.662,2.58,0.504,1.062,0.635,1.174,1.827
US,2,"Mississippi","Union County","28145",10.638,16.946,17.664,17.153,18.494,19.29,19.289,12.04,17.649,16.98,16.189,18.571,18.707,13.888,10.112,14.619,13.868,12.408,13.772,12.249,9.414,5.358,9.216,8.689,10.367,9.518,10.998,7.791,6.475,9.274,9.463,10.391,10.699,10.136,6.172,5.015,8.944,8.858,9.313
US,2,"Mississippi","Walthall County","28147",17.978,17.522,22.109,23.112,22.588,26.059,22.728,10.611,19.195,17.648,19.373,19.319,17.609,13.184,12.29,18.788,12.904,16.473,16.143,16.196,8.03,1.954,13.354,10.838,10.38,11.223,9.719,6.123,2.376,9.828,6.478,8.246,8.42,9.706,2.466,1.49,3.794,5.766,7.742
US,2,"Mississippi","Warren County","28149",7.797,8.047,8.739,7.616,9.045,9.893,9.857,8.142,8.618,8.529,9.015,8.89,9.174,7.715,5.871,7.692,7.184,7.258,7.257,6.542,5.476,3.927,5.958,5.67,5.506,6.042,5.837,5.002,4.142,4.618,5.126,5.804,5.215,4.816,2.236,2.198,4.36,4.433,5.132
US,2,"Mississippi","Washington County","28151",3.848,4.632,4.754,4.105,4.958,5.84,3.861,3.7,3.612,4.053,3.964,4.888,4.128,3.388,2.58,3.651,3.043,3.395,3.37,3.547,1.934,0.752,2.417,2.376,2.744,3.41,3.556,2.474,1.864,2.602,2.35,2.622,3.264,2.946,1.87,1.397,2.393,2.252,2.908
US,2,"Mississippi","Wayne County","28153",10.784,14.238,16.312,11.145,14.627,20.966,12.078,9.692,15.148,13.51,14.252,16.005,15.458,10.758,7.719,12.738,13.164,11.675,13.045,11.907,6.838,4.188,9.162,8.789,9.978,10.072,11.516,7.958,3.26,9.538,7.521,7.392,9.518,12.296,2.619,2.108,5.922,5.155,7.195
US,2,"Mississippi","Webster County","28155",14.578,26.535,28.618,23.684,27.564,31.14,25.467,13.816,24.11,27.437,27.661,30.657,27.334,16.369,10.753,23.438,23.186,17.757,17.763,16.461,10.556,3.247,14.14,9.108,12.908,12.222,15.58,10.463,3.904,12.732,11.106,10.06,14.172,16.104,7.059,2.982,9.235,8.462,8.097
US,2,"Mississippi","Wilkinson County","28157",12.545,21.824,22.114,17.71,17.702,23.087,16.668,18.765,13.973,11.364,16.534,22.176,16.291,7.037,5.497,14.658,9.996,8.431,13.904,4.258,4.546,3.589,11.565,2.676,2.569,4.35,4.316,2.526,1.87,7.784,4.536,6.838,2.963,4.315,1.038,1.803,2.451,2.356,13.428
US,2,"Mississippi","Winston County","28159",8.374,12.092,12.473,10.758,12.174,14.465,14.205,8.468,11.908,10.572,10.734,14.288,11.95,9.759,5.718,8.535,8.664,8.34,9.038,7.383,4.1,1.18,6.656,5.92,8.381,8.915,9.55,7.54,3.395,5.812,5.719,6.378,7.754,5.679,2.904,2.303,4.588,3.2,5.041
US,2,"Mississippi","Yalobusha County","28161",13.64,21.486,21.092,20.09,21.472,23.615,20.767,13.047,21.011,20.624,18.314,20.83,19.906,16.044,11.261,21.588,19.141,14.305,16.397,17.285,11.562,4.838,11.318,12.31,12.584,11.702,14.881,8.912,5.006,13.023,10.327,11.535,15.84,15.935,5.368,4.377,13.102,8.896,12.518
US,2,"Mississippi","Yazoo County","28163",3.934,11.462,11.351,6.369,10.836,11.742,11.511,7.633,9.052,9.821,12.652,11.471,10.058,10.63,3.009,7.422,10.554,5.053,5.435,4.518,2.684,1.416,3.79,3.535,4.169,4.176,4.244,3.315,2.83,3.644,3.44,4.042,4.348,3.959,2.32,1.81,3.222,3.318,3.194
US,1,"Missouri","","29",6.634,8.978,9.374,9.255,9.761,11.002,9.226,6.658,8.398,9.149,9.435,9.341,10.136,6.173,4.275,7.276,6.636,5.265,4.743,5.675,2.74,0.63,3.372,1.965,3.055,2.92,2.998,1.346,1.0,2.357,2.618,2.847,2.8,2.8,0.987,0.42,1.848,2.533,2.696
US,2,"Missouri","Adair County","29001",1.858,2.357,2.215,2.189,2.586,4.066,3.101,2.446,2.66,2.93,3.205,3.083,4.372,2.097,1.941,2.838,2.541,2.019,2.119,2.796,1.604,0.671,1.853,1.407,1.494,1.616,2.042,1.332,0.937,1.264,1.511,1.507,1.951,1.339,0.977,0.487,1.295,1.646,1.706
US,2,"Missouri","Andrew County","29003",6.868,8.363,8.79,8.81,9.236,10.971,10.808,7.749,8.088,8.525,9.203,9.191,9.175,6.144,5.228,6.952,6.529,5.688,5.817,6.888,4.417,2.12,5.696,4.166,5.27,4.155,4.232,3.097,2.44,4.098,4.357,5.008,4.358,3.84,3.176,2.346,3.746,5.661,4.86
